ts_utc,route_id,route_name,mode,n_vehicles,n_trips,median_delay_s,p90_delay_s,pct_on_time,pct_late,pct_early,n_alerts
2026-08-20T04:37:22Z,352,352 Lawrence West,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,354,354 Lawrence East,bus,0,0,,,,,,2
2026-08-20T04:37:22Z,363,363 Ossington,bus,0,0,,,,,,2
2026-08-20T04:37:22Z,395,395 York Mills,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,501,501 Queen,streetcar,16,0,,,,,,1
2026-08-20T04:37:22Z,503,503 Kingston Rd,streetcar,8,0,,,,,,0
2026-08-20T04:37:22Z,504,504 King,streetcar,22,0,,,,,,0
2026-08-20T04:37:22Z,505,505 Dundas,streetcar,12,0,,,,,,0
2026-08-20T04:37:22Z,506,506 Carlton,streetcar,29,0,,,,,,2
2026-08-20T04:37:22Z,507,507 Long Branch,streetcar,7,0,,,,,,0
2026-08-20T04:37:22Z,509,509 Harbourfront,streetcar,5,0,,,,,,0
2026-08-20T04:37:22Z,510,510 Spadina,streetcar,7,0,,,,,,1
2026-08-20T04:37:22Z,511,511 Bathurst,streetcar,6,0,,,,,,0
2026-08-20T04:37:22Z,512,512 St Clair,streetcar,8,0,,,,,,1
2026-08-20T04:37:22Z,900,900 Airport Express,bus,4,0,,,,,,0
2026-08-20T04:37:22Z,903,903 Kennedy Stn-Scarborough Express,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,904,904 Sheppard-Kennedy Express,bus,4,0,,,,,,1
2026-08-20T04:37:22Z,925,925 Don Mills Express,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,927,927 Highway 27 Express,bus,6,0,,,,,,0
2026-08-20T04:37:22Z,939,939 Finch Express,bus,8,0,,,,,,1
2026-08-20T04:37:22Z,952,952 Lawrence West Express,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,954,954 Lawrence East Express,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,984,984 Sheppard West Express,bus,0,0,,,,,,2
2026-08-20T04:37:22Z,996,996 Wilson Express,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,ALL,System-wide,all,662,0,,,,,,98
2026-08-20T05:03:57Z,7,7 Bathurst,bus,7,0,,,,,,2
2026-08-20T05:03:57Z,8,8 Broadview,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,9,9 Bellamy,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,11,11 Bayview,bus,4,0,,,,,,1
2026-08-20T05:03:57Z,12,12 Kingston Rd,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,13,13 Avenue Rd,bus,2,0,,,,,,2
2026-08-20T05:03:57Z,14,14 Glencairn,bus,1,0,,,,,,1
2026-08-20T05:03:57Z,15,15 Evans,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,16,16 McCowan,bus,3,0,,,,,,1
2026-08-20T05:03:57Z,17,17 Birchmount,bus,4,0,,,,,,0
2026-08-20T05:03:57Z,18,18 Caledonia,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,19,19 Bay,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,20,20 Cliffside,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,21,21 Brimley,bus,3,0,,,,,,1
2026-08-20T05:03:57Z,22,22 Coxwell,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,23,23 Dawes,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,24,24 Victoria Park,bus,7,0,,,,,,0
2026-08-20T05:03:57Z,25,25 Don Mills,bus,9,0,,,,,,1
2026-08-20T05:03:57Z,26,26 Dupont,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,27,27 Jane South,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,28,28 Bayview South,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,29,29 Dufferin,bus,7,0,,,,,,0
2026-08-20T05:03:57Z,30,30 High Park North,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,31,31 Greenwood,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,32,32 Eglinton West,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,33,33 Forest Hill,bus,1,0,,,,,,1
2026-08-20T05:03:57Z,34,34 Eglinton,bus,7,0,,,,,,4
2026-08-20T05:03:57Z,35,35 Jane,bus,10,0,,,,,,0
2026-08-20T05:03:57Z,36,36 Finch West,bus,6,0,,,,,,0
2026-08-20T05:03:57Z,37,37 Islington,bus,6,0,,,,,,0
2026-08-20T05:03:57Z,38,38 Highland Creek,bus,5,0,,,,,,1
2026-08-20T05:03:57Z,39,39 Finch East,bus,12,0,,,,,,0
2026-08-20T05:03:57Z,40,40 Junction-Dundas West,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,41,41 Keele,bus,5,0,,,,,,0
2026-08-20T05:03:57Z,42,42 Cummer,bus,4,0,,,,,,0
2026-08-20T05:03:57Z,43,43 Kennedy,bus,7,0,,,,,,1
2026-08-20T05:03:57Z,44,44 Kipling South,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,45,45 Kipling,bus,7,0,,,,,,0
2026-08-20T05:03:57Z,46,46 Martin Grove,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,47,47 Lansdowne,bus,4,0,,,,,,0
2026-08-20T05:03:57Z,48,48 Rathburn,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,49,49 Bloor West,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,50,50 Burnhamthorpe,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,51,51 Leslie,bus,5,0,,,,,,0
2026-08-20T05:03:57Z,52,52 Lawrence West,bus,15,0,,,,,,1
2026-08-20T05:03:57Z,53,53 Steeles East,bus,9,0,,,,,,0
2026-08-20T05:03:57Z,54,54 Lawrence East,bus,8,0,,,,,,1
2026-08-20T05:03:57Z,55,55 Warren Park,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,57,57 Midland,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,59,59 Maple Leaf,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,60,60 Steeles West,bus,7,0,,,,,,0
2026-08-20T05:03:57Z,61,61 Avenue Rd North,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,62,62 Mortimer,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,63,63 Ossington,bus,8,0,,,,,,2
2026-08-20T05:03:57Z,64,64 Main,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,65,65 Parliament,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,66,66 Prince Edward,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,67,67 Pharmacy,bus,1,0,,,,,,1
2026-08-20T05:03:57Z,68,68 Warden,bus,4,0,,,,,,0
2026-08-20T05:03:57Z,69,69 Warden South,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,70,70 O'Connor,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,71,71 Runnymede,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,72,72 Pape,bus,7,0,,,,,,1
2026-08-20T05:03:57Z,73,73 Royal York,bus,5,0,,,,,,0
2026-08-20T05:03:57Z,74,74 Mount Pleasant,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,75,75 Sherbourne,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,76,76 Royal York South,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,77,77 Swansea,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,78,78 St Andrews,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,79,79 Scarlett Rd,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,80,80 Queensway,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,83,83 Jones,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,84,84 Sheppard West,bus,7,0,,,,,,4
2026-08-20T05:03:57Z,85,85 Sheppard East,bus,9,0,,,,,,1
2026-08-20T05:03:57Z,86,86 Scarborough,bus,8,0,,,,,,0
2026-08-20T05:03:57Z,87,87 Cosburn,bus,5,0,,,,,,0
2026-08-20T05:03:57Z,88,88 South Leaside,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,89,89 Weston,bus,7,0,,,,,,0
2026-08-20T05:03:57Z,90,90 Vaughan,bus,2,0,,,,,,2
2026-08-20T05:03:57Z,91,91 Woodbine,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,92,92 Woodbine South,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,93,93 Parkview Hills,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,94,94 Wellesley,bus,3,0,,,,,,1
2026-08-20T05:03:57Z,95,95 York Mills,bus,10,0,,,,,,1
2026-08-20T05:03:57Z,96,96 Wilson,bus,12,0,,,,,,0
2026-08-20T05:03:57Z,97,97 Yonge,bus,6,0,,,,,,1
2026-08-20T05:03:57Z,98,98 Willowdale-Senlac,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,100,100 Flemingdon Park,bus,4,0,,,,,,1
2026-08-20T05:03:57Z,101,101 Downsview Park,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,102,102 Markham Rd,bus,14,0,,,,,,0
2026-08-20T05:03:57Z,103,103 Mount Pleasant North,bus,1,0,,,,,,1
2026-08-20T05:03:57Z,104,104 Faywood,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,105,105 Dufferin North,bus,1,0,,,,,,1
2026-08-20T05:03:57Z,106,106 Sentinel,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,107,107 Alness-Chesswood,bus,1,0,,,,,,1
2026-08-20T05:03:57Z,108,108 Driftwood,bus,4,0,,,,,,2
2026-08-20T05:03:57Z,109,109 Ranee,bus,2,0,,,,,,2
2026-08-20T05:03:57Z,110,110 Islington South,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,111,111 East Mall,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,112,112 West Mall,bus,3,0,,,,,,1
2026-08-20T05:03:57Z,113,113 Danforth,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,114,114 Queens Quay East,bus,3,0,,,,,,1
2026-08-20T05:03:57Z,116,116 Morningside,bus,9,0,,,,,,0
2026-08-20T05:03:57Z,117,117 Birchmount South,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,118,118 Thistle Down,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,120,120 Calvington,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,121,121 Esplanade-River,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,122,122 Graydon Hall,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,123,123 Sherway,bus,4,0,,,,,,0
2026-08-20T05:03:57Z,124,124 Sunnybrook,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,125,125 Drewry,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,126,126 Christie,bus,1,0,,,,,,1
2026-08-20T05:03:57Z,127,127 Davenport,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,129,129 McCowan North,bus,8,0,,,,,,1
2026-08-20T05:03:57Z,130,130 Middlefield,bus,1,0,,,,,,1
2026-08-20T05:03:57Z,131,131 Nugget,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,132,132 Milner,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,133,133 Neilson,bus,4,0,,,,,,1
2026-08-20T05:03:57Z,134,134 Progress,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,135,135 Gerrard,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,149,149 Etobicoke-Bloor,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,151,151 Leslie North,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,154,154 Curran Hall,bus,3,0,,,,,,0
2026-08-20T05:03:57Z,158,158 Trethewey,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,161,161 Rogers Rd,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,162,162 Lawrence-Donway,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,164,164 Castlefield,bus,2,0,,,,,,2
2026-08-20T05:03:57Z,165,165 Weston Rd North,bus,10,0,,,,,,0
2026-08-20T05:03:57Z,167,167 Pharmacy North,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,168,168 Symington,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,169,169 Huntingwood,bus,3,0,,,,,,1
2026-08-20T05:03:57Z,171,171 Mount Dennis,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,184,184 Ancaster Park,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,185,185 Sheppard Central,bus,2,0,,,,,,0
2026-08-20T05:03:57Z,189,189 Stockyards,bus,1,0,,,,,,0
2026-08-20T05:03:57Z,191,191 Underhill,bus,2,0,,,,,,1
2026-08-20T05:03:57Z,202,202 Cherry Beach,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,300,300 Bloor-Danforth,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,301,301 Queen,streetcar,3,0,,,,,,0
2026-08-20T05:03:57Z,305,305 Dundas,streetcar,1,0,,,,,,2
2026-08-20T05:03:57Z,306,306 Carlton,streetcar,0,0,,,,,,1
2026-08-20T05:03:57Z,307,307 Bathurst,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,310,310 Spadina,streetcar,0,0,,,,,,1
2026-08-20T05:03:57Z,312,312 St Clair,streetcar,0,0,,,,,,1
2026-08-20T05:03:57Z,316,316 Kingston Rd-McCowan,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,320,320 Yonge,bus,1,0,,,,,,1
2026-08-20T05:03:57Z,325,325 Don Mills,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,329,329 Dufferin,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,334,334 Eglinton,bus,0,0,,,,,,4
2026-08-20T05:03:57Z,352,352 Lawrence West,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,354,354 Lawrence East,bus,0,0,,,,,,2
2026-08-20T05:03:57Z,363,363 Ossington,bus,0,0,,,,,,2
2026-08-20T05:03:57Z,395,395 York Mills,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,501,501 Queen,streetcar,13,0,,,,,,1
2026-08-20T05:03:57Z,503,503 Kingston Rd,streetcar,7,0,,,,,,0
2026-08-20T05:03:57Z,504,504 King,streetcar,23,0,,,,,,0
2026-08-20T05:03:57Z,505,505 Dundas,streetcar,10,0,,,,,,0
2026-08-20T05:03:57Z,506,506 Carlton,streetcar,29,0,,,,,,2
2026-08-20T05:03:57Z,507,507 Long Branch,streetcar,5,0,,,,,,0
2026-08-20T05:03:57Z,509,509 Harbourfront,streetcar,5,0,,,,,,0
2026-08-20T05:03:57Z,510,510 Spadina,streetcar,7,0,,,,,,1
2026-08-20T05:03:57Z,511,511 Bathurst,streetcar,6,0,,,,,,0
2026-08-20T05:03:57Z,512,512 St Clair,streetcar,8,0,,,,,,1
2026-08-20T05:03:57Z,900,900 Airport Express,bus,4,0,,,,,,0
2026-08-20T05:03:57Z,903,903 Kennedy Stn-Scarborough Express,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,904,904 Sheppard-Kennedy Express,bus,3,0,,,,,,1
2026-08-20T05:03:57Z,925,925 Don Mills Express,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,927,927 Highway 27 Express,bus,4,0,,,,,,0
2026-08-20T05:03:57Z,939,939 Finch Express,bus,7,0,,,,,,1
2026-08-20T05:03:57Z,952,952 Lawrence West Express,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,954,954 Lawrence East Express,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,984,984 Sheppard West Express,bus,0,0,,,,,,2
2026-08-20T05:03:57Z,996,996 Wilson Express,bus,0,0,,,,,,1
2026-08-20T05:03:57Z,ALL,System-wide,all,622,0,,,,,,98
