ts_utc,route_id,route_name,mode,n_vehicles,n_stops_measured,n_gaps,median_headway_s,headway_cv,pct_regular,pct_bunched,pct_gapped,n_alerts
2026-09-01T00:34:39Z,52,52 Lawrence West,bus,22,58,212,396.0,0.483,61.3,19.3,19.3,0
2026-09-01T00:34:39Z,53,53 Steeles East,bus,19,91,308,393.0,0.279,71.4,16.9,11.7,1
2026-09-01T00:34:39Z,54,54 Lawrence East,bus,15,20,60,374.0,0.378,65.0,18.3,16.7,1
2026-09-01T00:34:39Z,55,55 Warren Park,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,57,57 Midland,bus,7,8,24,672.0,0.53,66.7,33.3,0.0,0
2026-09-01T00:34:39Z,59,59 Maple Leaf,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,60,60 Steeles West,bus,7,5,17,273.0,0.602,35.3,35.3,29.4,1
2026-09-01T00:34:39Z,61,61 Avenue Rd North,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,62,62 Mortimer,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,63,63 Ossington,bus,8,7,21,558.0,0.084,100.0,0.0,0.0,1
2026-09-01T00:34:39Z,64,64 Main,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,65,65 Parliament,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,66,66 Prince Edward,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,67,67 Pharmacy,bus,3,0,0,,,,,,1
2026-09-01T00:34:39Z,68,68 Warden,bus,10,8,24,243.0,0.844,33.3,33.3,33.3,0
2026-09-01T00:34:39Z,69,69 Warden South,bus,4,0,0,,,,,,0
2026-09-01T00:34:39Z,70,70 O'Connor,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,71,71 Runnymede,bus,6,9,27,567.0,0.636,40.7,29.6,29.6,0
2026-09-01T00:34:39Z,72,72 Pape,bus,11,28,84,540.0,0.192,100.0,0.0,0.0,1
2026-09-01T00:34:39Z,73,73 Royal York,bus,7,0,0,,,,,,0
2026-09-01T00:34:39Z,74,74 Mount Pleasant,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,75,75 Sherbourne,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,76,76 Royal York South,bus,6,22,90,314.0,0.454,71.1,14.4,14.4,0
2026-09-01T00:34:39Z,77,77 Swansea,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,78,78 St Andrews,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,79,79 Scarlett Rd,bus,4,0,0,,,,,,0
2026-09-01T00:34:39Z,80,80 Queensway,bus,4,0,0,,,,,,0
2026-09-01T00:34:39Z,82,82 Rosedale,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,83,83 Jones,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,84,84 Sheppard West,bus,10,49,154,418.0,0.472,65.6,18.8,15.6,4
2026-09-01T00:34:39Z,85,85 Sheppard East,bus,12,6,18,548.0,0.416,66.7,16.7,16.7,0
2026-09-01T00:34:39Z,86,86 Scarborough,bus,10,20,71,483.0,0.555,63.4,22.5,14.1,0
2026-09-01T00:34:39Z,87,87 Cosburn,bus,6,12,38,502.0,0.283,89.5,5.3,5.3,0
2026-09-01T00:34:39Z,88,88 South Leaside,bus,5,0,0,,,,,,0
2026-09-01T00:34:39Z,89,89 Weston,bus,10,16,51,479.0,0.202,96.1,0.0,3.9,0
2026-09-01T00:34:39Z,90,90 Vaughan,bus,3,0,0,,,,,,1
2026-09-01T00:34:39Z,91,91 Woodbine,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,92,92 Woodbine South,bus,3,18,54,480.0,0.08,98.1,1.9,0.0,0
2026-09-01T00:34:39Z,93,93 Parkview Hills,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,94,94 Wellesley,bus,6,2,6,552.0,0.163,100.0,0.0,0.0,0
2026-09-01T00:34:39Z,95,95 York Mills,bus,23,93,349,383.0,0.408,58.5,22.9,18.6,1
2026-09-01T00:34:39Z,96,96 Wilson,bus,14,21,65,318.0,0.456,52.3,18.5,29.2,0
2026-09-01T00:34:39Z,97,97 Yonge,bus,7,0,0,,,,,,3
2026-09-01T00:34:39Z,98,98 Willowdale-Senlac,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,99,99 Arrow Rd,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,100,100 Flemingdon Park,bus,7,14,54,380.0,0.21,85.2,3.7,11.1,1
2026-09-01T00:34:39Z,101,101 Downsview Park,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,102,102 Markham Rd,bus,23,85,362,330.0,0.333,80.4,11.3,8.3,0
2026-09-01T00:34:39Z,103,103 Mount Pleasant North,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,104,104 Faywood,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,105,105 Dufferin North,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,106,106 Sentinel,bus,3,0,0,,,,,,1
2026-09-01T00:34:39Z,107,107 Alness-Chesswood,bus,3,0,0,,,,,,1
2026-09-01T00:34:39Z,108,108 Driftwood,bus,7,1,3,616.0,0.667,33.3,33.3,33.3,2
2026-09-01T00:34:39Z,109,109 Ranee,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,110,110 Islington South,bus,5,0,0,,,,,,0
2026-09-01T00:34:39Z,111,111 East Mall,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,112,112 West Mall,bus,5,0,0,,,,,,1
2026-09-01T00:34:39Z,113,113 Danforth,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,114,114 Queens Quay East,bus,4,0,0,,,,,,1
2026-09-01T00:34:39Z,115,115 Silver Hills,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,116,116 Morningside,bus,16,56,178,326.0,0.589,57.3,20.8,21.9,0
2026-09-01T00:34:39Z,117,117 Birchmount South,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,118,118 Thistle Down,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,120,120 Calvington,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,121,121 Esplanade-River,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,122,122 Graydon Hall,bus,3,2,6,286.0,0.585,66.7,0.0,33.3,0
2026-09-01T00:34:39Z,123,123 Sherway,bus,4,12,37,518.0,0.649,37.8,35.1,27.0,0
2026-09-01T00:34:39Z,124,124 Sunnybrook,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,125,125 Drewry,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,126,126 Christie,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,127,127 Davenport,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,129,129 McCowan North,bus,13,27,85,308.0,0.658,41.2,29.4,29.4,2
2026-09-01T00:34:39Z,130,130 Middlefield,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,131,131 Nugget,bus,6,0,0,,,,,,1
2026-09-01T00:34:39Z,132,132 Milner,bus,3,0,0,,,,,,1
2026-09-01T00:34:39Z,133,133 Neilson,bus,10,1,4,367.0,0.485,50.0,25.0,25.0,1
2026-09-01T00:34:39Z,134,134 Progress,bus,5,0,0,,,,,,1
2026-09-01T00:34:39Z,135,135 Gerrard,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,149,149 Etobicoke-Bloor,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,151,151 Leslie North,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,154,154 Curran Hall,bus,5,0,0,,,,,,0
2026-09-01T00:34:39Z,158,158 Trethewey,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,160,160 Bathurst North,bus,3,0,0,,,,,,1
2026-09-01T00:34:39Z,161,161 Rogers Rd,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,162,162 Lawrence-Donway,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,164,164 Castlefield,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,165,165 Weston Rd North,bus,12,32,96,284.0,0.462,74.0,12.5,13.5,0
2026-09-01T00:34:39Z,167,167 Pharmacy North,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,168,168 Symington,bus,4,0,0,,,,,,0
2026-09-01T00:34:39Z,169,169 Huntingwood,bus,3,0,0,,,,,,1
2026-09-01T00:34:39Z,171,171 Mount Dennis,bus,2,1,3,209.0,0.957,33.3,33.3,33.3,0
2026-09-01T00:34:39Z,184,184 Ancaster Park,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,185,185 Sheppard Central,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,189,189 Stockyards,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,191,191 Underhill,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,201,201 Bluffer's Park,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,202,202 Cherry Beach,bus,3,0,0,,,,,,1
2026-09-01T00:34:39Z,305,305 Dundas,streetcar,0,0,0,,,,,,2
2026-09-01T00:34:39Z,316,316 Kingston Rd-McCowan,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,320,320 Yonge,bus,0,0,0,,,,,,3
2026-09-01T00:34:39Z,325,325 Don Mills,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,329,329 Dufferin,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,334,334 Eglinton,bus,0,0,0,,,,,,3
2026-09-01T00:34:39Z,336,336 Finch West,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,339,339 Finch East,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,354,354 Lawrence East,bus,0,0,0,,,,,,2
2026-09-01T00:34:39Z,363,363 Ossington,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,395,395 York Mills,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,501,501 Queen,streetcar,22,25,77,465.0,0.188,94.8,2.6,2.6,1
2026-09-01T00:34:39Z,503,503 Kingston Rd,streetcar,14,43,133,480.0,0.159,90.2,5.3,4.5,0
2026-09-01T00:34:39Z,504,504 King,streetcar,25,53,262,244.0,0.487,62.2,22.1,15.6,0
2026-09-01T00:34:39Z,505,505 Dundas,streetcar,15,14,45,446.0,0.552,31.1,40.0,28.9,0
2026-09-01T00:34:39Z,506,506 Carlton,streetcar,27,44,155,420.0,0.611,43.2,29.7,27.1,1
2026-09-01T00:34:39Z,507,507 Long Branch,streetcar,8,4,13,422.0,0.574,38.5,30.8,30.8,0
2026-09-01T00:34:39Z,509,509 Harbourfront,streetcar,7,1,3,415.0,0.452,66.7,0.0,33.3,0
2026-09-01T00:34:39Z,510,510 Spadina,streetcar,13,21,92,304.0,0.139,91.3,4.3,4.3,1
2026-09-01T00:34:39Z,511,511 Bathurst,streetcar,7,0,0,,,,,,0
2026-09-01T00:34:39Z,512,512 St Clair,streetcar,8,9,27,466.0,0.496,44.4,29.6,25.9,0
2026-09-01T00:34:39Z,600,600,unknown,1,0,0,,,,,,0
2026-09-01T00:34:39Z,900,900 Airport Express,bus,7,1,3,531.0,0.065,100.0,0.0,0.0,0
2026-09-01T00:34:39Z,903,903 Kennedy Stn-Scarborough Express,bus,6,2,6,552.0,0.499,50.0,33.3,16.7,1
2026-09-01T00:34:39Z,904,904 Sheppard-Kennedy Express,bus,7,0,0,,,,,,1
2026-09-01T00:34:39Z,905,905 Eglinton East Express,bus,5,2,6,346.0,0.674,33.3,33.3,33.3,0
2026-09-01T00:34:39Z,906,906 Airport-Humber College Express,bus,5,0,0,,,,,,0
2026-09-01T00:34:39Z,925,925 Don Mills Express,bus,7,0,0,,,,,,1
2026-09-01T00:34:39Z,927,927 Highway 27 Express,bus,10,3,9,360.0,0.495,55.6,33.3,11.1,0
2026-09-01T00:34:39Z,929,929 Dufferin Express,bus,12,41,146,455.0,0.389,77.4,11.6,11.0,0
2026-09-01T00:34:39Z,935,935 Jane Express,bus,10,17,59,336.0,0.514,47.5,23.7,28.8,0
2026-09-01T00:34:39Z,937,937 Islington Express,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,939,939 Finch Express,bus,16,5,15,275.0,0.693,33.3,33.3,33.3,2
2026-09-01T00:34:39Z,953,953 Steeles East Express,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,954,954 Lawrence East Express,bus,0,0,0,,,,,,1
2026-09-01T00:34:39Z,960,960 Steeles West Express,bus,11,4,12,447.0,0.353,91.7,0.0,8.3,1
2026-09-01T00:34:39Z,984,984 Sheppard West Express,bus,0,0,0,,,,,,2
2026-09-01T00:34:39Z,996,996 Wilson Express,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,ALL,System-wide,all,1002,1451,5057,385.0,0.443,66.0,18.4,15.7,89
2026-09-01T05:37:00Z,7,7 Bathurst,bus,5,0,0,,,,,,2
2026-09-01T05:37:00Z,8,8 Broadview,bus,3,0,0,,,,,,1
2026-09-01T05:37:00Z,9,9 Bellamy,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,11,11 Bayview,bus,1,0,0,,,,,,2
2026-09-01T05:37:00Z,12,12 Kingston Rd,bus,3,0,0,,,,,,1
2026-09-01T05:37:00Z,13,13 Avenue Rd,bus,2,0,0,,,,,,4
2026-09-01T05:37:00Z,14,14 Glencairn,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,15,15 Evans,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,16,16 McCowan,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,17,17 Birchmount,bus,3,0,0,,,,,,2
2026-09-01T05:37:00Z,18,18 Caledonia,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,19,19 Bay,bus,1,0,0,,,,,,1
2026-09-01T05:37:00Z,20,20 Cliffside,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,21,21 Brimley,bus,1,0,0,,,,,,2
2026-09-01T05:37:00Z,22,22 Coxwell,bus,2,0,0,,,,,,0
2026-09-01T05:37:00Z,23,23 Dawes,bus,2,0,0,,,,,,0
2026-09-01T05:37:00Z,24,24 Victoria Park,bus,6,0,0,,,,,,1
2026-09-01T05:37:00Z,25,25 Don Mills,bus,7,0,0,,,,,,3
2026-09-01T05:37:00Z,26,26 Dupont,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,27,27 Jane South,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,29,29 Dufferin,bus,5,0,0,,,,,,1
2026-09-01T05:37:00Z,31,31 Greenwood,bus,2,0,0,,,,,,0
2026-09-01T05:37:00Z,32,32 Eglinton West,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,33,33 Forest Hill,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,34,34 Eglinton,bus,5,0,0,,,,,,5
2026-09-01T05:37:00Z,35,35 Jane,bus,6,0,0,,,,,,1
2026-09-01T05:37:00Z,36,36 Finch West,bus,4,0,0,,,,,,1
2026-09-01T05:37:00Z,37,37 Islington,bus,6,0,0,,,,,,0
2026-09-01T05:37:00Z,38,38 Highland Creek,bus,5,0,0,,,,,,2
2026-09-01T05:37:00Z,39,39 Finch East,bus,7,0,0,,,,,,1
2026-09-01T05:37:00Z,40,40 Junction-Dundas West,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,41,41 Keele,bus,3,0,0,,,,,,1
2026-09-01T05:37:00Z,42,42 Cummer,bus,3,0,0,,,,,,1
2026-09-01T05:37:00Z,43,43 Kennedy,bus,10,22,67,539.0,0.493,55.2,26.9,17.9,2
2026-09-01T05:37:00Z,44,44 Kipling South,bus,2,0,0,,,,,,0
2026-09-01T05:37:00Z,45,45 Kipling,bus,5,0,0,,,,,,0
2026-09-01T05:37:00Z,46,46 Martin Grove,bus,2,0,0,,,,,,0
2026-09-01T05:37:00Z,47,47 Lansdowne,bus,3,0,0,,,,,,1
2026-09-01T05:37:00Z,48,48 Rathburn,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,49,49 Bloor West,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,50,50 Burnhamthorpe,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,51,51 Leslie,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,52,52 Lawrence West,bus,12,1,3,723.0,0.679,33.3,33.3,33.3,0
2026-09-01T05:37:00Z,53,53 Steeles East,bus,9,6,18,549.0,0.383,88.9,5.6,5.6,1
2026-09-01T05:37:00Z,54,54 Lawrence East,bus,4,0,0,,,,,,2
2026-09-01T05:37:00Z,55,55 Warren Park,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,57,57 Midland,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,60,60 Steeles West,bus,7,0,0,,,,,,1
2026-09-01T05:37:00Z,61,61 Avenue Rd North,bus,1,0,0,,,,,,3
2026-09-01T05:37:00Z,62,62 Mortimer,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,63,63 Ossington,bus,4,0,0,,,,,,2
2026-09-01T05:37:00Z,64,64 Main,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,65,65 Parliament,bus,3,0,0,,,,,,1
2026-09-01T05:37:00Z,67,67 Pharmacy,bus,0,0,0,,,,,,2
2026-09-01T05:37:00Z,68,68 Warden,bus,3,0,0,,,,,,1
2026-09-01T05:37:00Z,69,69 Warden South,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,70,70 O'Connor,bus,1,0,0,,,,,,1
2026-09-01T05:37:00Z,71,71 Runnymede,bus,1,0,0,,,,,,1
2026-09-01T05:37:00Z,72,72 Pape,bus,5,0,0,,,,,,2
2026-09-01T05:37:00Z,73,73 Royal York,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,74,74 Mount Pleasant,bus,0,0,0,,,,,,3
2026-09-01T05:37:00Z,75,75 Sherbourne,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,76,76 Royal York South,bus,2,0,0,,,,,,0
2026-09-01T05:37:00Z,77,77 Swansea,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,80,80 Queensway,bus,2,0,0,,,,,,0
2026-09-01T05:37:00Z,84,84 Sheppard West,bus,5,0,0,,,,,,4
2026-09-01T05:37:00Z,85,85 Sheppard East,bus,6,0,0,,,,,,0
2026-09-01T05:37:00Z,86,86 Scarborough,bus,7,0,0,,,,,,1
2026-09-01T05:37:00Z,87,87 Cosburn,bus,3,0,0,,,,,,1
2026-09-01T05:37:00Z,88,88 South Leaside,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,89,89 Weston,bus,6,1,3,538.0,0.517,33.3,33.3,33.3,1
2026-09-01T05:37:00Z,90,90 Vaughan,bus,2,0,0,,,,,,2
2026-09-01T05:37:00Z,91,91 Woodbine,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,94,94 Wellesley,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,95,95 York Mills,bus,7,0,0,,,,,,1
2026-09-01T05:37:00Z,96,96 Wilson,bus,10,0,0,,,,,,0
2026-09-01T05:37:00Z,97,97 Yonge,bus,3,0,0,,,,,,6
2026-09-01T05:37:00Z,100,100 Flemingdon Park,bus,0,0,0,,,,,,3
2026-09-01T05:37:00Z,102,102 Markham Rd,bus,10,15,45,208.0,0.893,20.0,46.7,33.3,0
2026-09-01T05:37:00Z,103,103 Mount Pleasant North,bus,0,0,0,,,,,,3
2026-09-01T05:37:00Z,104,104 Faywood,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,105,105 Dufferin North,bus,1,0,0,,,,,,1
2026-09-01T05:37:00Z,106,106 Sentinel,bus,1,0,0,,,,,,1
2026-09-01T05:37:00Z,107,107 Alness-Chesswood,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,108,108 Driftwood,bus,0,0,0,,,,,,2
2026-09-01T05:37:00Z,109,109 Ranee,bus,1,0,0,,,,,,2
2026-09-01T05:37:00Z,110,110 Islington South,bus,3,0,0,,,,,,0
2026-09-01T05:37:00Z,111,111 East Mall,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,112,112 West Mall,bus,3,0,0,,,,,,1
2026-09-01T05:37:00Z,113,113 Danforth,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,114,114 Queens Quay East,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,116,116 Morningside,bus,7,0,0,,,,,,1
2026-09-01T05:37:00Z,117,117 Birchmount South,bus,3,0,0,,,,,,0
2026-09-01T05:37:00Z,118,118 Thistle Down,bus,2,0,0,,,,,,0
2026-09-01T05:37:00Z,121,121 Esplanade-River,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,122,122 Graydon Hall,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,123,123 Sherway,bus,2,0,0,,,,,,0
2026-09-01T05:37:00Z,124,124 Sunnybrook,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,125,125 Drewry,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,127,127 Davenport,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,129,129 McCowan North,bus,5,0,0,,,,,,3
2026-09-01T05:37:00Z,130,130 Middlefield,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,131,131 Nugget,bus,0,0,0,,,,,,2
2026-09-01T05:37:00Z,132,132 Milner,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,133,133 Neilson,bus,4,0,0,,,,,,2
2026-09-01T05:37:00Z,134,134 Progress,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,135,135 Gerrard,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,149,149 Etobicoke-Bloor,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,151,151 Leslie North,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,154,154 Curran Hall,bus,4,0,0,,,,,,1
2026-09-01T05:37:00Z,156,156 Millwood,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,158,158 Trethewey,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,161,161 Rogers Rd,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,162,162 Lawrence-Donway,bus,0,0,0,,,,,,2
2026-09-01T05:37:00Z,164,164 Castlefield,bus,0,0,0,,,,,,2
2026-09-01T05:37:00Z,165,165 Weston Rd North,bus,8,0,0,,,,,,0
2026-09-01T05:37:00Z,167,167 Pharmacy North,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,168,168 Symington,bus,2,0,0,,,,,,1
2026-09-01T05:37:00Z,169,169 Huntingwood,bus,1,0,0,,,,,,1
2026-09-01T05:37:00Z,171,171 Mount Dennis,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,185,185 Sheppard Central,bus,1,0,0,,,,,,0
2026-09-01T05:37:00Z,191,191 Underhill,bus,0,0,0,,,,,,2
2026-09-01T05:37:00Z,201,201 Bluffer's Park,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,202,202 Cherry Beach,bus,0,0,0,,,,,,1
2026-09-01T05:37:00Z,300,300 Bloor-Danforth,bus,6,12,36,556.0,0.265,100.0,0.0,0.0,2
2026-09-01T05:37:00Z,301,301 Queen,streetcar,9,10,30,540.0,0.214,73.3,13.3,13.3,0
2026-09-01T05:37:00Z,304,304 King,streetcar,0,0,0,,,,,,1
2026-09-01T05:37:00Z,305,305 Dundas,streetcar,5,0,0,,,,,,3
